,src,dst,weight
72570,Dark_Jazz,Jazz-Funk,0.015151515151515152
72571,Jazz-Funk,Dark_Jazz,0.0002952465308532625
72572,Dark_Jazz,Psychedelic,0.005050505050505051
72573,Psychedelic,Dark_Jazz,0.00031446540880503143
72574,Dark_Jazz,Soundtrack,0.045454545454545456
72575,Soundtrack,Dark_Jazz,0.00026171159382360636
72576,Dark_Jazz,Theme,0.005050505050505051
72577,Theme,Dark_Jazz,9.236168837166343e-05
72578,Education,Twist,0.000544069640914037
72579,Twist,Education,0.000482392667631452
72580,Spoken_Word,Twist,0.0001210946960523129
72581,Twist,Spoken_Word,0.000482392667631452
72582,Boom_Bap,Rhythm_&_Blues,0.0007448789571694599
72583,Rhythm_&_Blues,Boom_Bap,0.00013768889194864205
72584,Deathrock,Stoner_Rock,0.0059382422802850355
72585,Stoner_Rock,Deathrock,0.0006181998021760633
72586,Hindustani,Rock_&_Roll,0.0010460251046025104
72587,Rock_&_Roll,Hindustani,0.00011984372378418543
72588,Darkwave,Folk_Metal,0.0004428697962798937
72589,Folk_Metal,Darkwave,0.0016769144773616546
72590,Avant-garde_Jazz,Techno,0.002463661000246366
72591,Techno,Avant-garde_Jazz,0.00012619888944977284
72592,Country_Rock,Jump_Blues,0.00037391564463057136
72593,Jump_Blues,Country_Rock,0.004476275738585497
72594,Free_Funk,Lo-Fi,0.004640371229698376
72595,Lo-Fi,Free_Funk,0.0001945525291828794
72596,Freestyle,Garage_Rock,0.0014727540500736377
72597,Garage_Rock,Freestyle,0.00018927922471229558
72598,Freestyle,Lounge,0.0002945508100147275
72599,Lounge,Freestyle,0.0004655493482309125
72600,Acoustic,Tropical_House,0.0001633808953273064
72601,Tropical_House,Acoustic,0.00625
72602,Math_Rock,Pop_Rap,0.00030321406913280777
